,date,rank,song,artist,last-week,peak-rank,weeks-on-board
71251,2008-03-15,52,The Anthem,Pitbull Featuring Lil Jon,59.0,52,9
71358,2008-03-08,59,The Anthem,Pitbull Featuring Lil Jon,59.0,59,8
71458,2008-03-01,59,The Anthem,Pitbull Featuring Lil Jon,66.0,59,7
71565,2008-02-23,66,The Anthem,Pitbull Featuring Lil Jon,72.0,66,6
71671,2008-02-16,72,The Anthem,Pitbull Featuring Lil Jon,76.0,72,5
71695,2008-02-16,96,Go Girl,Pitbull Featuring Trina & Young Bo$$,94.0,83,9
71775,2008-02-09,76,The Anthem,Pitbull Featuring Lil Jon,76.0,76,4
71793,2008-02-09,94,Go Girl,Pitbull Featuring Trina & Young Bo$$,93.0,83,8
71875,2008-02-02,76,The Anthem,Pitbull Featuring Lil Jon,88.0,76,3
71892,2008-02-02,93,Go Girl,Pitbull Featuring Trina & Young Bo$$,98.0,83,7
71987,2008-01-26,88,The Anthem,Pitbull Featuring Lil Jon,,88,2
71997,2008-01-26,98,Go Girl,Pitbull Featuring Trina & Young Bo$$,97.0,83,6
72096,2008-01-19,97,Go Girl,Pitbull Featuring Trina & Young Bo$$,83.0,83,5
72182,2008-01-12,83,Go Girl,Pitbull Featuring Trina & Young Bo$$,100.0,83,4
72291,2008-01-05,92,The Anthem,Pitbull Featuring Lil Jon,,92,1
72299,2008-01-05,100,Go Girl,Pitbull Featuring Trina & Young Bo$$,,92,3
72492,2007-12-22,93,Go Girl,Pitbull Featuring Trina & Young Bo$$,92.0,92,2
72591,2007-12-15,92,Go Girl,Pitbull Featuring Trina & Young Bo$$,,92,1
77198,2007-01-27,99,Ay Chico (Lengua Afuera),Pitbull,,92,6
77497,2007-01-06,98,Ay Chico (Lengua Afuera),Pitbull,96.0,92,5
77595,2006-12-30,96,Ay Chico (Lengua Afuera),Pitbull,93.0,92,4
77692,2006-12-23,93,Ay Chico (Lengua Afuera),Pitbull,92.0,92,3
77791,2006-12-16,92,Ay Chico (Lengua Afuera),Pitbull,97.0,92,2
77896,2006-12-09,97,Ay Chico (Lengua Afuera),Pitbull,,97,1
79890,2006-07-22,91,Bojangles,Pitbull,,91,1
79999,2006-07-15,100,Holla At Me,"DJ Khaled Featuring Lil Wayne, Paul Wall, Fat Joe, Rick Ross & Pitbull",83.0,59,4
80082,2006-07-08,83,Holla At Me,"DJ Khaled Featuring Lil Wayne, Paul Wall, Fat Joe, Rick Ross & Pitbull",61.0,59,3
